"benchmark","original_o2_cycles","final_o2_cycles","final_o2_delta_cycles","final_o2_delta_percent","final_os_cycles","final_os_vs_final_o2_percent"
"bubble1","1408254","1225341","-182913","-12.988637","1215520","-0.801491"
"bubble2","1257054","1154781","-102273","-8.135927","1144960","-0.850464"
"bubble4","1836730","1777069","-59661","-3.248218","1767248","-0.552652"
"call_args","289179","289179","0","0","289179","0"
"constant_arith","7849378","7755150","-94228","-1.200452","7497934","-3.316712"
"crc16","762440","568040","-194400","-25.497088","3759880","561.904091"
"divmod","1034298","1029370","-4928","-0.476458","1029370","0"
"fibonacci","250048","250048","0","0","250048","0"
"fir8","8770540","8407376","-363164","-4.140726","8407376","0"
"fixed_point","11609348","11609348","0","0","11785744","1.519431"
"float","881658","878698","-2960","-0.335731","878698","0"
"indirect_call","83052","83052","0","0","85356","2.774166"
"loop_control","20271868","13887376","-6384492","-31.494345","13887376","0"
"memory_services","18512","18512","0","0","18512","0"
"mixed_width","3142866","3142866","0","0","3142866","0"
"multiply","911005","764053","-146952","-16.130757","779413","2.010332"
"pointer_walk","1000732","924704","-76028","-7.597239","924704","0"
"progmem_walk","3209957","3175020","-34937","-1.088395","3175020","0"
"progmem_widen_ldp16","573604","542476","-31128","-5.42674","543196","0.132725"
"progmem_widen_ldp32_bytes","737024","735306","-1718","-0.2331","736124","0.111246"
"progmem_widen_ldp32_words","573593","542465","-31128","-5.426844","543185","0.132727"
"record_scan","1564880","1793903","229023","14.63518","1835867","2.339257"
"reverse_walk","2593084","1926704","-666380","-25.698358","1926704","0"
"select","744268","744268","0","0","744268","0"
"shifts","491985","520129","28144","5.7205","523969","0.738278"
"sieve","518627","372418","-146209","-28.191552","373970","0.416736"
"small_memops","835079","779527","-55552","-6.652305","785139","0.719924"
"stack_array","897447","820167","-77280","-8.611093","931664","13.594427"
"state_machine","7251129","7193047","-58082","-0.801006","7789621","8.293759"
"string_scan","28897549","25469691","-3427858","-11.862106","28764350","12.935606"
"struct_copy","606888","593528","-13360","-2.201395","593528","0"
"switch","936377","936377","0","0","938629","0.240501"
"sys_memcmp","3062","3024","-38","-1.241019","3024","0"
"sys_memcmp_p","5303","5303","0","0","5303","0"
"sys_strcmp","2838","2715","-123","-4.334038","2715","0"
"sys_strcmp_p","5691","5663","-28","-0.492005","5663","0"
"sys_strlen","3039","3039","0","0","3039","0"
"sys_strlen_p","7230","7209","-21","-0.290456","7209","0"
"sys_strncat","2360","2360","0","0","2360","0"
"sys_strncat_p","3580","3580","0","0","3580","0"
"sys_strncpy","2291","2291","0","0","2291","0"
"sys_strncpy_p","3794","3794","0","0","3794","0"
"tail_calls","501299","501299","0","0","501299","0"
