"benchmark","original_text","final_text","text_delta","original_data","final_data","data_delta","original_bss","final_bss","bss_delta"
"bubble1","113","125","12","64","64","0","0","0","0"
"bubble2","106","120","14","128","128","0","0","0","0"
"bubble4","130","141","11","256","256","0","0","0","0"
"call_args","201","201","0","4","4","0","0","0","0"
"constant_arith","235","232","-3","130","130","0","0","0","0"
"crc16","106","98","-8","656","656","0","0","0","0"
"divmod","692","686","-6","164","164","0","0","0","0"
"fibonacci","82","82","0","2","2","0","0","0","0"
"fir8","179","179","0","114","114","0","0","0","0"
"fixed_point","417","416","-1","258","258","0","0","0","0"
"float","250","242","-8","134","134","0","0","0","0"
"indirect_call","107","107","0","3","3","0","0","0","0"
"loop_control","107","100","-7","34","34","0","0","0","0"
"memory_services","107","107","0","196","196","0","0","0","0"
"mixed_width","463","471","8","260","260","0","0","0","0"
"multiply","238","224","-14","258","258","0","0","0","0"
"pointer_walk","98","99","1","258","258","0","0","0","0"
"progmem_walk","178","176","-2","2","2","0","0","0","0"
"progmem_widen_ldp16","168","166","-2","6","6","0","0","0","0"
"progmem_widen_ldp32_bytes","232","230","-2","6","6","0","0","0","0"
"progmem_widen_ldp32_words","171","169","-2","6","6","0","0","0","0"
"record_scan","242","243","1","290","290","0","0","0","0"
"reverse_walk","99","96","-3","258","258","0","0","0","0"
"select","181","183","2","194","194","0","0","0","0"
"shifts","441","452","11","116","116","0","0","0","0"
"sieve","96","97","1","900","900","0","0","0","0"
"small_memops","230","244","14","66","66","0","0","0","0"
"stack_array","458","455","-3","4","4","0","0","0","0"
"state_machine","211","223","12","130","130","0","0","0","0"
"string_scan","621","585","-36","386","386","0","0","0","0"
"struct_copy","395","392","-3","196","196","0","0","0","0"
"switch","197","197","0","2","2","0","0","0","0"
"sys_memcmp","182","180","-2","266","266","0","0","0","0"
"sys_memcmp_p","161","161","0","74","74","0","0","0","0"
"sys_strcmp","222","220","-2","280","280","0","0","0","0"
"sys_strcmp_p","162","163","1","133","133","0","0","0","0"
"sys_strlen","178","178","0","304","304","0","0","0","0"
"sys_strlen_p","96","95","-1","2","2","0","0","0","0"
"sys_strncat","137","137","0","182","182","0","0","0","0"
"sys_strncat_p","145","145","0","144","144","0","0","0","0"
"sys_strncpy","212","212","0","115","115","0","0","0","0"
"sys_strncpy_p","158","158","0","69","69","0","0","0","0"
"tail_calls","87","87","0","4","4","0","0","0","0"
