"configuration","benchmark","pre_greedy_same_as_original","pre_greedy_basic_blocks","original_pre_greedy_basic_blocks","spill_loads","original_spill_loads","spill_stores","original_spill_stores","spill_slots","original_spill_slots","final_stack_frame","final_stack_accesses","function_size","short_branches","long_branches","phys_r0","phys_r1","phys_r2","phys_r3","phys_r4","phys_r5","phys_r6","phys_r7","phys_r0r1","phys_r2r3","phys_r4r5","phys_r6r7"
"cost0-regs12-avgfalse","bubble4","True","9","9","2","2","2","2","2","2","","","","","","7","7","0","0","24","5","13","10","0","4","4","2"
"cost0-regs12-avgtrue","bubble4","False","9","9","2","2","2","2","2","2","","","","","","10","8","0","0","28","9","9","5","0","4","4","2"
"cost0-regs8-avgfalse","bubble4","True","9","9","2","2","2","2","2","2","","","","","","7","7","0","0","24","5","13","10","0","4","4","2"
"cost0-regs8-avgtrue","bubble4","False","9","9","2","2","2","2","2","2","","","","","","10","8","0","0","28","9","9","5","0","4","4","2"
"cost1-regs12-avgfalse","bubble4","True","9","9","3","2","4","2","3","2","","","","","","0","0","0","0","23","15","14","10","4","4","0","2"
"cost1-regs12-avgtrue","bubble4","False","9","9","4","2","5","2","4","2","","","","","","0","0","0","0","30","20","4","8","4","4","0","2"
"cost1-regs8-avgfalse","bubble4","True","9","9","3","2","4","2","3","2","","","","","","0","0","0","0","23","15","14","10","4","4","0","2"
"cost1-regs8-avgtrue","bubble4","False","9","9","4","2","5","2","4","2","","","","","","0","0","0","0","30","20","4","8","4","4","0","2"
"cost0-regs12-avgfalse","float","True","7","7","5","5","4","4","4","4","","","","","","13","8","4","0","14","7","20","7","8","22","23","16"
"cost0-regs12-avgtrue","float","False","7","7","15","5","14","4","11","4","","","","","","7","5","10","7","16","7","11","0","28","11","23","31"
"cost0-regs8-avgfalse","float","True","7","7","5","5","4","4","4","4","","","","","","13","8","4","0","14","7","20","7","8","22","23","16"
"cost0-regs8-avgtrue","float","False","7","7","15","5","14","4","11","4","","","","","","7","5","10","7","16","7","11","0","28","11","23","31"
"cost1-regs12-avgfalse","float","True","7","7","5","5","4","4","4","4","","","","","","0","0","0","0","34","9","21","17","18","26","23","2"
"cost1-regs12-avgtrue","float","False","7","7","17","5","16","4","11","4","","","","","","0","0","0","0","30","7","15","12","37","20","32","5"
"cost1-regs8-avgfalse","float","True","7","7","5","5","4","4","4","4","","","","","","0","0","0","0","34","9","21","17","18","26","23","2"
"cost1-regs8-avgtrue","float","False","7","7","17","5","16","4","11","4","","","","","","0","0","0","0","30","7","15","12","37","20","32","5"
"cost0-regs12-avgfalse","struct_copy","True","7","7","5","5","5","5","5","5","","","","","","13","8","12","14","27","9","4","0","9","0","14","20"
"cost0-regs12-avgtrue","struct_copy","False","7","7","11","5","8","5","7","5","","","","","","14","15","1","0","35","21","4","0","4","12","12","22"
"cost0-regs8-avgfalse","struct_copy","True","7","7","5","5","5","5","5","5","","","","","","13","8","12","14","27","9","4","0","9","0","14","20"
"cost0-regs8-avgtrue","struct_copy","False","7","7","11","5","8","5","7","5","","","","","","14","15","1","0","35","21","4","0","4","12","12","22"
"cost1-regs12-avgfalse","struct_copy","True","7","7","8","5","6","5","6","5","","","","","","8","8","7","6","33","21","6","0","6","5","10","20"
"cost1-regs12-avgtrue","struct_copy","False","7","7","10","5","8","5","7","5","","","","","","19","8","5","0","32","19","4","0","9","4","14","24"
"cost1-regs8-avgfalse","struct_copy","True","7","7","8","5","6","5","6","5","","","","","","8","8","7","6","33","21","6","0","6","5","10","20"
"cost1-regs8-avgtrue","struct_copy","False","7","7","10","5","8","5","7","5","","","","","","19","8","5","0","32","19","4","0","9","4","14","24"
