"benchmark","text_size","data_size","bss_size"
"bubble1","113","64","0"
"bubble2","106","128","0"
"bubble4","130","256","0"
"call_args","201","4","0"
"constant_arith","235","130","0"
"crc16","106","656","0"
"divmod","692","164","0"
"fibonacci","82","2","0"
"fir8","179","114","0"
"fixed_point","417","258","0"
"float","250","134","0"
"indirect_call","107","3","0"
"loop_control","107","34","0"
"memory_services","107","196","0"
"mixed_width","463","260","0"
"multiply","238","258","0"
"pointer_walk","98","258","0"
"progmem_walk","178","2","0"
"progmem_widen_ldp16","168","6","0"
"progmem_widen_ldp32_bytes","232","6","0"
"progmem_widen_ldp32_words","171","6","0"
"record_scan","242","290","0"
"reverse_walk","99","258","0"
"select","181","194","0"
"shifts","441","116","0"
"sieve","96","900","0"
"small_memops","230","66","0"
"stack_array","458","4","0"
"state_machine","211","130","0"
"string_scan","621","386","0"
"struct_copy","395","196","0"
"switch","197","2","0"
"sys_memcmp","182","266","0"
"sys_memcmp_p","161","74","0"
"sys_strcmp","222","280","0"
"sys_strcmp_p","162","133","0"
"sys_strlen","178","304","0"
"sys_strlen_p","96","2","0"
"sys_strncat","137","182","0"
"sys_strncat_p","145","144","0"
"sys_strncpy","212","115","0"
"sys_strncpy_p","158","69","0"
"tail_calls","87","4","0"
